Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_2_:23	_none_	84	0	+0.094	0	2	0	0	1	1	+245.553	+0.842	-0.001	+0.405	+18.914	
wt	27	normal;	181	2	+0.196	2	3	0	0	1	2	+180.072	+0.017	-0.001	+1.000	+15.024	
wt	_seg_0_:27	normal;	64	0	+0.196	0	1	0	0	1	1	+182.930	-0.028	-0.001	+1.401	+26.746	
wt	_seg_1_:27	normal;	108	0	+0.196	1	1	0	0	1	1	+144.058	+0.013	-0.001	+1.053	+4.646	
wt	29	_none_	181	1	+0.000	1	1	0	0	1	2	+136.764	-0.004	-0.001	+0.571	+95.895	
wt	_seg_0_:29	_none_	176	0	+0.000	1	3	0	0	1	2	+136.764	-0.009	-0.001	+1.244	+179.963	
wt	31	normal;ascus;	178	2	+0.237	0	2	0	0	1	1	+400.160	-0.022	-0.001	+1.677	+76.937	
wt	_seg_0_:31	normal;ascus;	92	0	+0.237	0	0	0	0	1	1	+320.128	-0.004	-0.001	+0.902	+15.570	
wt	_seg_1_:31	normal;ascus;	76	0	+0.237	0	0	0	0	1	1	+409.255	-0.027	-0.001	+2.024	+55.179	
wt	32	normal;ascus;	206	2	+0.000	1	2	0	0	1	1	+120.048	+5.920	+0.003	+0.888	+15.904	
wt	_seg_0_:32	normal;ascus;	60	0	+0.000	3	0	0	0	1	0	+120.048	-11.042	-0.003	+0.929	+1.439	
wt	_seg_1_:32	normal;ascus;	136	0	+0.000	3	0	0	0	1	1	+352.315	-0.001	-0.001	+1.082	+762.311	
wt	34	normal;	171	3	+0.053	3	2	0	0	1	2	+200.080	+0.023	-0.001	+1.122	-12.684	
wt	_seg_0_:34	normal;	60	0	+0.053	0	2	0	0	1	1	+240.096	+0.514	-0.001	+0.592	+10.516	
wt	_seg_1_:34	normal;	44	0	+0.053	1	0	0	0	1	0	+207.775	-0.100	-0.001	+3.996	+28.040	
wt	_seg_2_:34	normal;	52	0	+0.053	0	0	0	0	1	1	+120.048	+0.063	-0.001	+0.920	+12.016	
wt	35	normal;	227	2	+0.000	1	1	0	0	1	1	+120.048	+7.973	+0.012	+0.794	+26.638	
wt	_seg_0_:35	normal;	104	0	+0.000	1	0	0	0	1	0	+120.048	-0.151	-0.001	+0.968	-0.736	
wt	_seg_1_:35	normal;	112	0	+0.000	0	2	0	0	1	1	+240.096	+0.035	-0.001	+1.070	-1.246	
wt	37	normal;	181	2	+0.000	1	1	0	0	1	1	+135.054	+2.057	+0.024	+15.514	-0.315	
wt	_seg_0_:37	normal;	36	0	+0.000	0	1	0	0	1	2	+135.054	+0.417	+0.001	+10.825	-4.919	
wt	_seg_1_:37	normal;	136	0	+0.000	0	1	0	0	1	1	+270.108	+0.007	-0.001	+0.928	-9.266	
wt	38	normal;	347	2	+0.000	5	1	0	0	1	0	+120.048	-4.804	-0.009	+0.940	+3.454	
wt	_seg_0_:38	normal;	56	0	+0.000	1	1	0	0	1	1	+138.517	-12.503	-0.002	+0.848	+2.368	
wt	_seg_1_:38	normal;	280	0	+0.000	5	0	0	0	1	0	+120.048	-0.027	-0.001	+1.109	-16.865	
wt	39	ascus;normal;	201	2	+0.000	0	3	0	0	1	1	+139.591	+6.242	-0.000	+0.593	+14.469	
wt	_seg_0_:39	ascus;normal;	60	0	+0.000	2	2	0	0	1	1	+138.517	-4.424	-0.001	+0.713	+2.978	
wt	_seg_1_:39	ascus;normal;	132	0	+0.000	0	2	0	0	1	1	+168.818	-1.077	-0.003	+0.314	+3.064	
wt	41	normal;	180	2	+0.000	0	0	0	0	1	1	+152.174	+0.048	+0.002	+6.650	-56.439	
wt	_seg_0_:41	normal;	36	0	+0.000	0	0	0	0	1	1	+154.347	+1.069	-0.001	+0.493	+5.047	
wt	_seg_1_:41	normal;	132	0	+0.000	1	3	0	0	1	2	+202.581	+0.025	-0.001	+0.887	+3.679	
wt	42	normal;	182	2	+0.000	0	1	0	0	1	1	+126.644	+1.743	+0.000	+0.172	+6.675	
wt	_seg_0_:42	normal;	36	0	+0.000	0	0	0	0	1	0	+120.048	+8.081	-0.002	+0.251	+4.727	
wt	_seg_1_:42	normal;	136	0	+0.000	1	2	0	0	1	2	+172.409	-0.031	-0.001	+0.821	+36.649	
wt	0	_none_	181	2	+0.026	2	1	0	0	1	2	+158.887	+0.026	+0.001	+2.831	-60.565	
wt	_seg_0_:0	_none_	36	0	+0.026	0	1	0	0	1	1	+166.220	-0.189	-0.001	+0.613	-3.463	
wt	_seg_1_:0	_none_	136	0	+0.026	0	1	0	0	1	1	+188.447	-0.011	-0.001	+0.794	+40.247	
wt	1	normal;	180	3	+0.000	1	3	0	0	1	2	+150.060	-0.006	-0.001	+0.942	+147.484	
wt	_seg_0_:1	normal;	80	0	+0.000	0	1	0	0	1	1	+120.048	+0.015	-0.001	+0.867	-50.425	
wt	_seg_1_:1	normal;	36	0	+0.000	0	0	0	0	1	0	+216.086	-0.225	-0.000	+8.598	+18.078	
wt	_seg_2_:1	normal;	48	0	+0.000	0	1	0	0	1	1	+240.096	+0.042	-0.001	+0.614	-2.019	
wt	2	normal;normal;	181	3	+0.554	0	3	0	0	1	2	+203.855	+0.003	-0.001	+0.731	+104.415	
wt	_seg_0_:2	normal;normal;	68	0	+0.554	0	0	0	0	1	1	+540.216	+0.009	-0.001	+1.091	+3.976	
wt	_seg_1_:2	normal;normal;	36	0	+0.554	0	1	0	0	1	1	+240.096	-0.070	-0.001	+1.307	+13.855	
wt	_seg_2_:2	normal;normal;	64	0	+0.554	1	0	0	0	1	0	+295.503	+0.041	-0.001	+1.222	-0.968	
wt	3	_none_	181	3	+0.015	2	2	0	0	1	2	+180.072	-0.005	-0.001	+0.979	+81.789	
wt	_seg_0_:3	_none_	80	0	+0.015	0	0	0	0	1	1	+184.689	-5.403	+0.008	+0.458	+3.216	
wt	_seg_1_:3	_none_	36	0	+0.015	0	1	0	0	1	1	+180.072	+0.067	-0.001	+2.351	-13.683	
wt	_seg_2_:3	_none_	52	0	+0.015	1	0	0	0	1	0	+405.162	-0.201	-0.000	+7.738	+21.441	
wt	5	normal;	181	2	+0.000	0	2	0	0	1	1	+203.855	+0.023	-0.001	+0.823	-1.306	
wt	_seg_0_:5	normal;	44	0	+0.000	0	2	0	0	1	1	+245.553	-0.189	-0.001	+0.718	+6.342	
wt	_seg_1_:5	normal;	128	0	+0.000	0	2	0	0	1	1	+202.186	-0.002	-0.001	+0.824	-53.631	
wt	6	_none_	181	3	+0.245	3	4	0	0	1	1	+196.442	+0.006	-0.001	+0.933	-8.433	
wt	_seg_0_:6	_none_	60	0	+0.245	0	0	0	0	1	1	+327.404	+0.283	-0.001	+0.597	+8.825	
wt	_seg_1_:6	_none_	40	0	+0.245	0	0	0	0	1	1	+200.080	+0.024	-0.001	+0.966	+10.369	
