Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	5	normal;	181	2	+0.000	0	0	0	0	1	0	+10804.322	-0.007	-0.001	+1.660	+332.575	
wt	_seg_0_:5	normal;	124	0	+0.000	0	0	0	0	1	0	+7503.001	+0.010	-0.001	+0.576	-78.377	
wt	_seg_1_:5	normal;	48	0	+0.000	0	1	0	0	1	1	+2881.152	+0.121	-0.001	+6.934	-16.012	
wt	6	_none_	181	1	+0.273	0	1	0	0	1	1	+10804.322	-0.005	-0.001	+0.923	+82.370	
wt	_seg_0_:6	_none_	176	0	+0.273	1	3	0	0	1	1	+10804.322	+0.000	-0.001	+1.001	-194895.188	
wt	8	_none_	181	1	+0.018	0	1	0	0	1	1	+10804.322	-0.014	-0.001	+0.741	+41.979	
wt	_seg_0_:8	_none_	176	0	+0.018	0	1	0	0	1	1	+10804.322	-0.050	-0.001	+0.414	-6.847	
wt	9	normal;	179	3	+0.000	3	0	0	0	1	1	+10804.322	+0.014	-0.001	+1.382	-83.074	
wt	_seg_0_:9	normal;	60	0	+0.000	0	2	0	0	1	1	+3601.441	-0.126	+0.001	+8.682	+33.364	
wt	_seg_1_:9	normal;	56	0	+0.000	0	0	0	0	1	0	+3601.441	+0.051	-0.001	+0.687	+7.956	
wt	_seg_2_:9	normal;	48	0	+0.000	4	0	0	0	1	1	+2881.152	-0.042	-0.001	+0.998	+3.692	
wt	12	normal;	173	2	+0.065	1	1	0	0	1	0	+10804.322	-0.018	-0.001	+0.887	+48.332	
wt	_seg_0_:12	normal;	92	0	+0.065	0	1	0	0	1	1	+5762.305	-0.002	-0.001	+0.750	+49.219	
wt	_seg_1_:12	normal;	72	0	+0.065	1	0	0	0	1	0	+4321.729	+0.062	-0.001	+3.115	-24.639	
wt	16	_none_	181	3	+0.114	1	1	0	0	1	1	+10804.322	-0.372	-0.001	+0.435	+3.232	
wt	_seg_0_:16	_none_	80	0	+0.114	0	1	0	0	1	1	+4801.921	-0.705	-0.001	+0.539	+2.928	
wt	_seg_1_:16	_none_	52	0	+0.114	0	0	0	0	1	0	+3241.297	+0.025	-0.001	+1.656	-18.494	
wt	_seg_2_:16	_none_	36	0	+0.114	0	0	0	0	1	0	+2160.864	-0.012	-0.001	+1.324	+68.049	
wt	17	_none_	181	2	+0.000	0	2	0	0	1	1	+10804.322	+0.021	-0.001	+0.837	+0.643	
wt	_seg_0_:17	_none_	48	0	+0.000	2	1	0	0	1	1	+2881.152	-0.228	-0.001	+0.629	+2.649	
wt	_seg_1_:17	_none_	124	0	+0.000	0	2	0	0	1	1	+7503.001	-0.008	-0.001	+1.186	+141.912	
wt	18	_none_	181	3	+0.000	1	4	0	0	1	1	+10804.322	-0.026	+0.001	+6.636	+156.413	
wt	_seg_0_:18	_none_	60	0	+0.000	0	0	0	0	1	0	+3601.441	-0.319	-0.001	+0.541	+2.671	
wt	_seg_1_:18	_none_	40	0	+0.000	0	0	0	0	1	0	+2400.960	+9.015	-0.005	+0.543	+8.672	
wt	_seg_2_:18	_none_	68	0	+0.000	0	0	0	0	1	0	+4321.729	-0.039	-0.001	+1.333	+47.563	
wt	20	_none_	181	1	+0.300	3	1	0	0	1	0	+10804.322	+0.006	-0.001	+1.067	-60.523	
wt	_seg_0_:20	_none_	176	0	+0.300	5	0	0	0	1	0	+10804.322	+0.004	-0.001	+1.121	-116.043	
wt	21	_none_	181	2	+0.354	0	1	0	0	1	1	+10804.322	-0.004	-0.001	+0.911	+1.258	
wt	_seg_0_:21	_none_	40	0	+0.354	0	0	0	0	1	0	+2400.960	+0.025	-0.001	+1.005	+6.209	
wt	_seg_1_:21	_none_	132	0	+0.354	0	0	0	0	1	0	+8103.241	+0.006	-0.001	+0.999	+21.548	
wt	22	normal;	181	2	+0.016	1	2	0	0	1	1	+10804.322	+0.021	-0.001	+0.846	-0.124	
