Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	38	normal;	347	2	+0.000	5	1	0	0	1	0	+120.048	-6.824	-0.017	+0.929	+3.437	
wt	_seg_0_:38	normal;	48	0	+0.000	1	1	0	0	1	1	+137.198	-11.733	-0.001	+0.883	+2.384	
wt	_seg_1_:38	normal;	288	0	+0.000	5	0	0	0	1	0	+120.048	-0.014	-0.001	+1.334	-5.385	
wt	39	ascus;normal;	201	2	+0.000	5	0	0	0	1	0	+120.048	+2.441	+0.015	+0.561	+14.040	
wt	_seg_0_:39	ascus;normal;	64	0	+0.000	0	2	0	0	1	0	+120.048	+2.235	-0.001	+0.573	+12.997	
wt	_seg_1_:39	ascus;normal;	128	0	+0.000	0	4	0	0	1	1	+144.964	-0.019	-0.001	+0.751	+41.829	
wt	41	normal;	180	1	+0.427	0	0	0	0	1	1	+138.517	+0.006	-0.001	+1.000	+30.602	
wt	_seg_0_:41	normal;	172	0	+0.427	0	0	0	0	1	1	+138.517	+0.010	-0.001	+1.003	+31.862	
wt	42	normal;	182	2	+0.000	0	0	0	0	1	0	+120.048	+0.112	-0.001	+1.417	-18.888	
wt	_seg_0_:42	normal;	36	0	+0.000	0	0	0	0	1	0	+120.048	+0.022	-0.001	+0.161	+71.011	
wt	_seg_1_:42	normal;	136	0	+0.000	0	1	0	0	1	1	+213.243	-0.013	-0.001	+0.923	+73.258	
wt	0	_none_	181	1	+0.001	0	1	0	0	1	1	+148.004	-0.005	-0.001	+1.018	+173.751	
wt	_seg_0_:0	_none_	176	0	+0.001	2	1	0	0	1	1	+148.004	-0.005	-0.001	+1.134	+222.070	
wt	1	normal;	180	3	+0.000	0	1	0	0	1	1	+133.387	-0.143	-0.001	+0.377	+10.092	
wt	_seg_0_:1	normal;	80	0	+0.000	1	0	0	0	1	1	+129.782	-0.223	+0.015	+7.946	+32.146	
wt	_seg_1_:1	normal;	40	0	+0.000	1	0	0	0	1	0	+184.689	-0.132	-0.001	+1.164	+7.089	
wt	_seg_2_:1	normal;	44	0	+0.000	0	0	0	0	1	0	+122.776	-0.042	-0.001	+0.508	-12.350	
wt	2	normal;normal;	181	1	+0.000	2	1	0	0	1	1	+177.120	-0.032	-0.001	+0.948	+43.192	
wt	_seg_0_:2	normal;normal;	176	0	+0.000	1	1	0	0	1	1	+177.120	-0.085	-0.001	+0.446	+9.343	
wt	3	_none_	181	2	+0.057	1	1	0	0	1	1	+189.550	-0.022	+0.000	+8.895	+163.196	
wt	_seg_0_:3	_none_	136	0	+0.057	0	1	0	0	1	1	+120.944	+0.015	-0.001	+2.269	-69.383	
wt	_seg_1_:3	_none_	36	0	+0.057	1	1	0	0	1	0	+154.347	-0.205	+0.000	+7.617	+18.631	
wt	5	normal;	181	3	+0.000	0	2	0	0	1	1	+292.009	+0.022	-0.001	+0.765	-31.433	
