Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:41	normal;	132	0	+0.000	0	0	0	0	1	0	+137.343	-0.022	-0.001	+1.005	+35.059	
wt	42	normal;	182	3	+0.035	2	1	0	0	1	0	+145.881	+0.013	-0.001	+0.874	+6.437	
wt	_seg_0_:42	normal;	68	0	+0.035	0	0	0	0	1	0	+139.411	+0.171	+0.005	+12.116	-15.099	
wt	_seg_1_:42	normal;	36	0	+0.035	0	1	0	0	1	0	+120.048	+0.077	-0.001	+1.426	-4.475	
wt	_seg_2_:42	normal;	64	0	+0.035	0	0	0	0	1	0	+147.751	-0.058	-0.001	+4.555	+49.400	
wt	0	_none_	181	2	+0.027	2	2	0	0	1	0	+180.072	+0.032	-0.000	+2.188	-31.376	
wt	_seg_0_:0	_none_	48	0	+0.027	0	0	0	0	1	0	+144.058	-0.122	-0.001	+0.942	+4.089	
wt	_seg_1_:0	_none_	124	0	+0.027	1	1	0	0	1	0	+178.643	+0.014	-0.001	+0.953	+2.177	
wt	1	normal;	180	2	+0.024	0	1	0	0	1	1	+192.934	+0.279	-0.001	+0.598	+31.878	
wt	_seg_0_:1	normal;	116	0	+0.024	0	0	0	0	1	0	+175.680	+0.007	-0.001	+2.439	-163.059	
wt	_seg_1_:1	normal;	52	0	+0.024	1	0	0	0	1	0	+190.665	+0.211	-0.001	+0.951	-0.291	
wt	2	normal;normal;	181	2	+0.243	2	1	0	0	1	1	+130.173	-0.089	-0.001	+0.494	-2.697	
wt	_seg_0_:2	normal;normal;	80	0	+0.243	0	0	0	0	1	0	+150.060	-6.567	-0.004	+0.455	+2.433	
wt	_seg_1_:2	normal;normal;	92	0	+0.243	0	1	0	0	1	1	+140.544	+0.002	-0.001	+0.972	+13.199	
wt	3	_none_	181	3	+0.006	0	1	0	0	1	1	+183.124	-0.290	-0.001	+0.381	+2.745	
wt	_seg_0_:3	_none_	44	0	+0.006	0	0	0	0	1	0	+192.934	-0.066	-0.001	+0.912	+16.358	
wt	_seg_1_:3	_none_	88	0	+0.006	0	0	0	0	1	0	+180.072	+0.016	-0.001	+0.881	-11.425	
wt	_seg_2_:3	_none_	36	0	+0.006	0	0	0	0	1	0	+144.058	-0.075	-0.001	+2.380	+26.764	
wt	5	normal;	181	3	+0.088	1	2	0	0	1	1	+124.188	+0.020	-0.001	+0.917	+10.617	
wt	_seg_0_:5	normal;	64	0	+0.088	0	0	0	0	1	0	+120.048	-0.090	-0.000	+8.440	+38.955	
wt	_seg_1_:5	normal;	56	0	+0.088	1	1	0	0	1	0	+120.048	+0.020	-0.001	+0.879	-0.309	
wt	_seg_2_:5	normal;	48	0	+0.088	0	0	0	0	1	0	+144.058	-0.032	-0.001	+1.073	+36.109	
wt	6	_none_	181	2	+0.000	0	0	0	0	1	0	+154.347	-0.013	-0.001	+0.789	+64.697	
wt	_seg_0_:6	_none_	96	0	+0.000	0	0	0	0	1	0	+198.700	+0.100	-0.000	+5.849	-21.766	
wt	_seg_1_:6	_none_	76	0	+0.000	0	0	0	0	1	0	+155.235	+0.359	-0.001	+0.668	+9.887	
wt	8	_none_	181	1	+0.204	1	1	0	0	1	1	+133.387	+0.000	-0.001	+0.848	+53.129	
wt	_seg_0_:8	_none_	176	0	+0.204	0	1	0	0	1	1	+133.387	-0.001	-0.001	+0.881	+42.447	
wt	9	normal;	179	3	+0.000	2	1	0	0	1	0	+144.058	-0.001	-0.001	+0.884	+1096.743	
wt	_seg_0_:9	normal;	36	0	+0.000	2	2	0	0	1	1	+154.347	+13.967	+0.007	+0.897	+2.685	
wt	_seg_1_:9	normal;	92	0	+0.000	0	0	0	0	1	0	+120.048	-0.020	-0.001	+0.753	+82.748	
wt	_seg_2_:9	normal;	36	0	+0.000	0	0	0	0	1	0	+144.058	-0.665	-0.001	+0.298	+2.165	
wt	12	normal;	173	1	+0.015	2	0	0	0	1	0	+128.623	-0.008	-0.001	+0.892	+73.030	
wt	_seg_0_:12	normal;	168	0	+0.015	0	3	0	0	1	0	+128.623	-0.002	-0.001	+0.756	+124.682	
wt	16	_none_	181	3	+0.010	1	1	0	0	1	1	+150.060	-0.085	-0.001	+0.461	+9.854	
wt	_seg_0_:16	_none_	92	0	+0.010	0	0	0	0	1	0	+151.640	-0.061	-0.000	+7.864	+61.018	
wt	_seg_1_:16	_none_	40	0	+0.010	1	0	0	0	1	0	+218.269	-0.096	-0.001	+3.523	+26.257	
wt	_seg_2_:16	_none_	36	0	+0.010	0	1	0	0	1	0	+180.072	-0.143	-0.001	+5.995	+19.484	
wt	17	_none_	181	2	+0.000	3	5	0	0	1	1	+120.048	+0.062	+0.013	+12.966	-49.245	
wt	_seg_0_:17	_none_	36	0	+0.000	0	0	0	0	1	0	+270.108	+0.204	+0.004	+14.722	-12.594	
wt	_seg_1_:17	_none_	136	0	+0.000	2	2	0	0	1	0	+128.623	-0.007	-0.001	+0.478	+124.418	
wt	18	_none_	181	1	+0.000	1	5	0	0	1	0	+154.347	-0.444	+0.079	+14.762	+50.943	
wt	_seg_0_:18	_none_	176	0	+0.000	3	1	0	0	1	0	+154.347	-1.053	+0.091	+23.513	+46.117	
wt	20	_none_	181	1	+0.000	1	1	0	0	1	0	+136.764	-0.174	-0.001	+0.531	+13.024	
wt	_seg_0_:20	_none_	176	0	+0.000	1	1	0	0	1	0	+136.764	-0.193	-0.001	+0.528	+11.119	
wt	21	_none_	181	3	+0.000	0	1	0	0	1	1	+148.004	-0.045	+0.004	+7.982	+109.409	
wt	_seg_0_:21	_none_	68	0	+0.000	0	0	0	0	1	0	+149.025	+3.383	+0.103	+8.617	+0.368	
wt	_seg_1_:21	_none_	64	0	+0.000	1	1	0	0	1	0	+120.048	+0.015	-0.001	+1.022	+9.904	
wt	_seg_2_:21	_none_	36	0	+0.000	0	0	0	0	1	0	+144.058	-1.336	-0.001	+0.588	+2.936	
wt	22	normal;	181	3	+0.032	2	2	0	0	1	0	+168.818	+0.002	-0.001	+0.509	+250.723	
wt	_seg_0_:22	normal;	84	0	+0.032	0	0	0	0	1	0	+120.048	+0.018	-0.001	+1.025	-10.723	
