Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:35	normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+0.111	-0.001	+0.817	+0.474	
wt	_seg_2_:35	normal;	48	0	+0.000	0	1	0	0	1	1	+2881.152	-0.073	-0.001	+3.042	+31.433	
wt	37	normal;	181	3	+0.000	1	1	0	0	1	0	+10804.322	+0.000	-0.001	+0.576	+152.343	
wt	_seg_0_:37	normal;	40	0	+0.000	0	1	0	0	1	1	+2400.960	+0.098	-0.001	+2.731	-10.972	
wt	_seg_1_:37	normal;	36	0	+0.000	2	2	0	0	1	0	+2160.864	+0.010	-0.001	+0.981	+3.833	
wt	_seg_2_:37	normal;	92	0	+0.000	0	0	0	0	1	0	+5762.305	+0.061	+0.001	+1.563	-15.987	
wt	38	normal;	347	1	+0.001	4	0	0	0	1	0	+21608.643	+0.014	-0.001	+0.894	-5.946	
wt	_seg_0_:38	normal;	340	0	+0.001	4	0	0	0	1	0	+21608.643	+0.011	-0.000	+2.802	-154.075	
wt	39	ascus;normal;	201	4	+0.000	1	2	0	0	1	0	+12004.802	+0.055	-0.001	+0.581	+24.465	
wt	_seg_0_:39	ascus;normal;	56	0	+0.000	1	1	0	0	1	1	+3601.441	-5.995	-0.000	+0.662	+2.955	
wt	_seg_1_:39	ascus;normal;	40	0	+0.000	0	1	0	0	1	1	+2400.960	+0.255	-0.001	+0.668	+5.518	
wt	_seg_2_:39	ascus;normal;	52	0	+0.000	0	0	0	0	1	0	+3241.297	+0.061	-0.001	+1.568	-10.653	
wt	_seg_3_:39	ascus;normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+9.594	-0.001	+0.615	+6.865	
wt	41	normal;	180	2	+0.522	3	1	0	0	1	1	+10804.322	+0.016	-0.001	+0.994	+0.158	
wt	_seg_0_:41	normal;	36	0	+0.522	0	0	0	0	1	1	+2160.864	-10.226	-0.002	+0.639	+1.345	
wt	_seg_1_:41	normal;	132	0	+0.522	0	3	0	0	1	0	+8103.241	+0.012	-0.001	+1.005	-18.852	
wt	42	normal;	182	3	+0.003	3	1	0	0	1	1	+11524.610	-0.001	-0.001	+0.675	+149.556	
wt	_seg_0_:42	normal;	68	0	+0.003	0	1	0	0	1	1	+4321.729	+0.005	-0.001	+1.222	-9.322	
wt	_seg_1_:42	normal;	36	0	+0.003	0	0	0	0	1	0	+2160.864	+0.199	-0.000	+5.701	-8.709	
wt	_seg_2_:42	normal;	64	0	+0.003	3	2	0	0	1	1	+3841.537	-3.810	-0.001	+0.396	+1.920	
wt	0	_none_	181	3	+0.005	0	1	0	0	1	1	+10804.322	+0.011	-0.001	+0.821	-3.959	
wt	_seg_0_:0	_none_	36	0	+0.005	0	1	0	0	1	1	+2160.864	-0.067	-0.001	+4.050	+38.168	
wt	_seg_1_:0	_none_	36	0	+0.005	0	0	0	0	1	0	+2160.864	+9.846	-0.001	+0.392	+7.638	
wt	_seg_2_:0	_none_	96	0	+0.005	0	1	0	0	1	1	+5762.305	-0.013	-0.001	+1.101	+5.261	
wt	1	normal;	180	3	+0.000	0	1	0	0	1	1	+10804.322	+0.038	-0.001	+1.310	-11.873	
wt	_seg_0_:1	normal;	56	0	+0.000	0	2	0	0	1	1	+3601.441	+0.060	-0.001	+4.095	-29.042	
wt	_seg_1_:1	normal;	64	0	+0.000	0	1	0	0	1	1	+3841.537	-0.017	-0.001	+0.585	-1.792	
wt	_seg_2_:1	normal;	44	0	+0.000	0	0	0	0	1	0	+2701.080	-0.026	-0.001	+0.910	+5.717	
wt	2	normal;normal;	181	2	+0.005	0	1	0	0	1	1	+10804.322	+0.184	-0.001	+0.409	+44.003	
wt	_seg_0_:2	normal;normal;	124	0	+0.005	0	0	0	0	1	0	+7503.001	-0.018	-0.001	+2.520	+105.353	
wt	_seg_1_:2	normal;normal;	48	0	+0.005	0	0	0	0	1	0	+2881.152	+0.065	-0.001	+0.749	+4.078	
wt	3	_none_	181	1	+0.780	3	1	0	0	1	1	+10804.322	+0.006	-0.001	+0.907	+7.902	
wt	_seg_0_:3	_none_	176	0	+0.780	0	2	0	0	1	1	+10804.322	+0.005	-0.001	+0.914	+9.413	
wt	5	normal;	181	2	+0.003	1	2	0	0	1	1	+10804.322	-0.021	-0.000	+5.857	+163.480	
wt	_seg_0_:5	normal;	132	0	+0.003	0	1	0	0	1	1	+8103.241	+0.027	-0.001	+0.845	-1.541	
wt	_seg_1_:5	normal;	40	0	+0.003	0	1	0	0	1	1	+2400.960	+2.361	-0.001	+0.644	+7.992	
wt	6	_none_	181	1	+0.000	0	1	0	0	1	1	+10804.322	-0.308	-0.003	+0.318	+5.134	
wt	_seg_0_:6	_none_	176	0	+0.000	1	2	0	0	1	1	+10804.322	-0.006	-0.001	+5.338	+515.742	
wt	8	_none_	181	3	+0.511	1	1	0	0	1	0	+10804.322	-0.009	-0.001	+0.922	+61.479	
wt	_seg_0_:8	_none_	68	0	+0.511	0	0	0	0	1	0	+4321.729	-0.530	-0.001	+0.503	+1.393	
wt	_seg_1_:8	_none_	36	0	+0.511	0	0	0	0	1	0	+2160.864	-11.942	+0.042	+0.415	+2.386	
wt	_seg_2_:8	_none_	64	0	+0.511	0	0	0	0	1	0	+3841.537	+0.001	-0.001	+0.864	+18.841	
wt	9	normal;	179	3	+0.004	3	0	0	0	1	0	+10804.322	+0.016	-0.001	+0.869	-3.109	
wt	_seg_0_:9	normal;	60	0	+0.004	0	0	0	0	1	0	+3601.441	-0.099	-0.000	+5.845	+36.044	
wt	_seg_1_:9	normal;	68	0	+0.004	0	1	0	0	1	1	+4321.729	-0.079	-0.001	+6.938	+46.024	
wt	_seg_2_:9	normal;	36	0	+0.004	0	1	0	0	1	1	+2160.864	-0.078	-0.001	+0.851	+4.027	
wt	12	normal;	173	3	+0.601	0	1	0	0	1	1	+10804.322	-0.087	-0.001	+0.508	-3.385	
wt	_seg_0_:12	normal;	52	0	+0.601	0	1	0	0	1	1	+3241.297	+0.101	-0.001	+5.862	-18.017	
wt	_seg_1_:12	normal;	40	0	+0.601	0	0	0	0	1	0	+2400.960	+0.034	-0.001	+1.648	-7.849	
wt	_seg_2_:12	normal;	68	0	+0.601	0	0	0	0	1	0	+4321.729	+0.169	-0.001	+0.944	+8.317	
wt	16	_none_	181	3	+0.000	0	1	0	0	1	1	+10804.322	-0.069	-0.001	+0.593	+22.921	
wt	_seg_0_:16	_none_	48	0	+0.000	0	0	0	0	1	1	+2881.152	-11.473	+0.134	+0.544	+5.447	
wt	_seg_1_:16	_none_	60	0	+0.000	0	1	0	0	1	1	+3601.441	-0.026	-0.001	+0.736	+16.953	
wt	_seg_2_:16	_none_	60	0	+0.000	0	1	0	0	1	1	+3601.441	-0.039	-0.001	+0.844	+7.612	
wt	17	_none_	181	3	+0.006	0	1	0	0	1	1	+10804.322	+0.016	-0.001	+1.145	-48.191	
wt	_seg_0_:17	_none_	44	0	+0.006	3	0	0	0	1	1	+2701.080	-0.057	-0.001	+2.581	+28.178	
wt	_seg_1_:17	_none_	36	0	+0.006	0	1	0	0	1	0	+2160.864	+9.927	+0.059	+7.450	+0.806	
wt	_seg_2_:17	_none_	88	0	+0.006	1	0	0	0	1	0	+5402.161	+0.040	-0.001	+4.198	-38.992	
wt	18	_none_	181	1	+0.683	1	1	0	0	1	1	+10804.322	+0.003	-0.001	+0.862	-14.779	
wt	_seg_0_:18	_none_	176	0	+0.683	0	1	0	0	1	1	+10804.322	+0.002	-0.001	+0.852	-13.244	
wt	20	_none_	181	1	+0.003	1	2	0	0	1	1	+10804.322	-0.001	-0.001	+0.505	-357.732	
wt	_seg_0_:20	_none_	176	0	+0.003	0	1	0	0	1	1	+10804.322	-0.004	-0.001	+1.374	+374.316	
wt	21	_none_	181	3	+0.034	3	0	0	0	1	1	+10804.322	-0.012	-0.001	+0.829	+44.408	
wt	_seg_0_:21	_none_	80	0	+0.034	2	2	0	0	1	0	+4801.921	-0.000	-0.001	+0.653	+286.075	
wt	_seg_1_:21	_none_	44	0	+0.034	0	0	0	0	1	0	+2701.080	-0.026	-0.001	+1.091	+9.453	
wt	_seg_2_:21	_none_	44	0	+0.034	0	1	0	0	1	1	+2701.080	-0.370	-0.001	+1.223	+9.110	
wt	22	normal;	181	3	+0.034	1	2	0	0	1	1	+10804.322	+0.002	-0.001	+0.791	-65.741	
wt	_seg_0_:22	normal;	76	0	+0.034	0	1	0	0	1	1	+4501.801	-0.032	-0.001	+0.916	+16.364	
wt	_seg_1_:22	normal;	56	0	+0.034	0	1	0	0	1	1	+3601.441	+0.031	-0.001	+0.978	+9.080	
wt	_seg_2_:22	normal;	36	0	+0.034	0	0	0	0	1	0	+2160.864	+0.036	-0.001	+0.927	+5.697	
wt	24	_none_	181	3	+0.034	1	1	0	0	1	1	+10804.322	+0.005	-0.001	+5.214	-511.110	
wt	_seg_0_:24	_none_	68	0	+0.034	0	0	0	0	1	0	+4321.729	+0.018	-0.001	+0.995	+12.169	
wt	_seg_1_:24	_none_	36	0	+0.034	0	0	0	0	1	0	+2160.864	+10.518	+0.056	+0.463	+3.865	
wt	_seg_2_:24	_none_	64	0	+0.034	0	0	0	0	1	0	+3841.537	+0.156	+0.001	+8.032	-14.259	
wt	25	normal;	180	1	+0.007	2	3	0	0	1	1	+10804.322	+0.005	-0.001	+0.445	+145.313	
wt	_seg_0_:25	normal;	172	0	+0.007	2	2	0	0	1	1	+10804.322	+0.022	-0.001	+1.086	-6.649	
wt	28	_none_	181	1	+0.000	1	1	0	0	1	0	+10804.322	+0.008	-0.001	+1.012	-121.717	
wt	_seg_0_:28	_none_	176	0	+0.000	0	0	0	0	1	0	+10804.322	+0.014	-0.001	+0.752	-26.353	
wt	29	normal;	174	3	+0.097	4	2	0	0	1	1	+10804.322	+0.008	-0.001	+0.829	+7.894	
wt	_seg_0_:29	normal;	64	0	+0.097	0	0	0	0	1	0	+3841.537	-0.036	-0.001	+0.666	+2.550	
wt	_seg_1_:29	normal;	48	0	+0.097	0	0	0	0	1	0	+2881.152	-0.052	-0.001	+2.266	+30.672	
wt	_seg_2_:29	normal;	48	0	+0.097	1	0	0	0	1	0	+2881.152	-3.825	-0.000	+0.532	+2.012	
wt	32	normal;	181	3	+0.012	0	2	0	0	1	1	+10804.322	+0.004	-0.001	+1.213	-168.437	
wt	_seg_0_:32	normal;	80	0	+0.012	5	1	0	0	1	1	+4801.921	+0.020	-0.001	+1.752	-50.434	
wt	_seg_1_:32	normal;	36	0	+0.012	0	2	0	0	1	1	+2160.864	-11.178	+0.050	+0.809	+4.911	
wt	_seg_2_:32	normal;	52	0	+0.012	0	0	0	0	1	0	+3241.297	-7.448	-0.001	+0.700	+2.144	
wt	33	_none_	181	2	+0.004	1	1	0	0	1	1	+10804.322	+0.010	-0.001	+0.844	-26.369	
wt	_seg_0_:33	_none_	36	0	+0.004	0	0	0	0	1	0	+2160.864	+0.021	-0.001	+0.831	+2.992	
wt	_seg_1_:33	_none_	136	0	+0.004	0	1	0	0	1	1	+8103.241	-0.002	-0.001	+0.700	+82.183	
wt	37	normal;	181	3	+0.004	0	2	0	0	1	1	+10804.322	-0.019	-0.001	+4.012	+151.903	
wt	_seg_0_:37	normal;	36	0	+0.004	0	0	0	0	1	0	+2160.864	+0.275	+0.000	+10.024	-7.757	
wt	_seg_1_:37	normal;	68	0	+0.004	1	1	0	0	1	1	+4321.729	+0.000	-0.001	+0.473	+114.975	
wt	_seg_2_:37	normal;	64	0	+0.004	1	1	0	0	1	1	+3841.537	-0.021	-0.001	+0.999	+15.414	
wt	2	_none_	181	1	+0.153	1	1	0	0	1	0	+10804.322	-0.003	-0.001	+0.930	+78.393	
wt	_seg_0_:2	_none_	176	0	+0.153	0	1	0	0	1	0	+10804.322	+0.002	-0.001	+1.073	-188.964	
wt	3	_none_	181	1	+0.010	0	1	0	0	1	1	+10804.322	-0.008	-0.001	+0.894	+89.641	
wt	_seg_0_:3	_none_	176	0	+0.010	0	1	0	0	1	1	+10804.322	-0.009	-0.001	+0.891	+83.866	
wt	5	_none_	181	2	+0.000	0	1	0	0	1	1	+10804.322	-0.024	-0.000	+5.638	+149.293	
wt	_seg_0_:5	_none_	136	0	+0.000	0	1	0	0	1	1	+8103.241	-0.114	-0.001	+0.508	-4.389	
wt	_seg_1_:5	_none_	36	0	+0.000	0	0	0	0	1	0	+2160.864	-5.747	+0.002	+0.429	+2.775	
wt	10	normal;ascus;	179	3	+0.027	1	1	0	0	1	0	+10804.322	-0.018	-0.001	+3.856	+158.283	
wt	_seg_0_:10	normal;ascus;	64	0	+0.027	1	1	0	0	1	0	+3841.537	+0.018	-0.001	+0.849	+12.097	
wt	_seg_1_:10	normal;ascus;	36	0	+0.027	0	1	0	0	1	1	+2160.864	+9.836	-0.002	+0.639	+7.637	
