Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:20	_none_	136	0	+0.113	1	1	0	0	1	1	+120.944	+0.015	-0.001	+0.881	+2.065	
wt	21	_none_	181	2	+0.000	0	2	0	0	1	1	+229.879	+0.022	-0.001	+1.358	-29.997	
wt	_seg_0_:21	_none_	52	0	+0.000	1	0	0	0	1	0	+140.926	+0.516	-0.001	+0.482	+10.090	
wt	_seg_1_:21	_none_	120	0	+0.000	0	1	0	0	1	1	+171.497	-0.422	-0.001	+0.351	+2.473	
wt	22	normal;	181	1	+0.026	2	2	0	0	1	1	+135.054	+0.006	-0.001	+0.849	-61.991	
wt	_seg_0_:22	normal;	176	0	+0.026	0	3	0	0	1	1	+135.054	+0.007	-0.001	+0.844	-56.470	
wt	24	_none_	181	3	+0.067	4	1	0	0	1	1	+300.120	+0.090	-0.001	+0.484	+38.674	
wt	_seg_0_:24	_none_	84	0	+0.067	0	1	0	0	1	0	+300.120	+0.013	-0.001	+0.942	+7.483	
wt	_seg_1_:24	_none_	40	0	+0.067	0	1	0	0	1	0	+300.120	-0.297	+0.002	+10.778	+17.500	
wt	_seg_2_:24	_none_	44	0	+0.067	0	1	0	0	1	0	+300.120	+0.567	-0.001	+0.602	+8.610	
wt	25	normal;	180	3	+0.006	0	1	0	0	1	1	+200.080	+0.014	-0.001	+1.665	-83.992	
wt	_seg_0_:25	normal;	60	0	+0.006	0	1	0	0	1	1	+200.080	-0.044	-0.001	+0.912	+15.024	
wt	_seg_1_:25	normal;	68	0	+0.006	0	2	0	0	1	1	+160.064	-1.645	-0.001	+0.374	+1.941	
wt	_seg_2_:25	normal;	36	0	+0.006	0	0	0	0	1	0	+196.442	-9.991	-0.001	+0.578	+3.289	
wt	28	_none_	181	3	+0.000	0	1	0	0	1	1	+128.623	+0.036	-0.001	+0.867	-0.125	
wt	_seg_0_:28	_none_	64	0	+0.000	0	1	0	0	1	1	+147.751	-6.216	+0.066	+0.430	+4.135	
wt	_seg_1_:28	_none_	52	0	+0.000	0	1	0	0	1	1	+129.652	+0.085	-0.001	+3.232	-20.848	
wt	_seg_2_:28	_none_	52	0	+0.000	0	1	0	0	1	1	+135.054	-0.055	-0.001	+2.662	+30.503	
wt	29	normal;	174	2	+0.102	1	1	0	0	1	1	+158.887	-0.018	-0.001	+0.900	+47.893	
wt	_seg_0_:29	normal;	92	0	+0.102	2	0	0	0	1	0	+151.640	+0.056	-0.001	+1.003	+5.509	
wt	_seg_1_:29	normal;	72	0	+0.102	0	1	0	0	1	1	+160.064	+0.071	-0.001	+0.876	+8.438	
wt	32	normal;	181	3	+0.000	1	2	0	0	1	1	+128.623	+0.011	-0.001	+2.212	-155.087	
wt	_seg_0_:32	normal;	44	0	+0.000	0	1	0	0	1	1	+142.162	-0.108	-0.001	+6.137	+27.406	
wt	_seg_1_:32	normal;	72	0	+0.000	1	1	0	0	1	1	+130.961	-0.038	-0.001	+2.193	+65.910	
wt	_seg_2_:32	normal;	52	0	+0.000	0	1	0	0	1	1	+135.054	+0.046	-0.001	+2.723	-28.581	
wt	33	_none_	181	1	+0.105	0	2	0	0	1	1	+138.517	+0.009	-0.001	+0.989	-1.666	
wt	_seg_0_:33	_none_	176	0	+0.105	0	2	0	0	1	1	+138.517	+0.007	-0.001	+0.994	-8.013	
wt	37	normal;	181	3	+0.002	0	2	0	0	1	1	+168.818	+0.017	-0.001	+2.456	-91.957	
wt	_seg_0_:37	normal;	60	0	+0.002	1	1	0	0	1	1	+124.188	+0.002	-0.001	+0.777	+24.873	
wt	_seg_1_:37	normal;	36	0	+0.002	0	1	0	0	1	1	+240.096	+0.189	-0.001	+6.787	-10.427	
wt	_seg_2_:37	normal;	72	0	+0.002	0	1	0	0	1	1	+160.064	+0.037	-0.001	+0.845	+2.042	
wt	2	_none_	181	2	+0.002	1	1	0	0	1	1	+120.048	+0.010	-0.001	+1.476	-104.100	
