frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
110,709.93,30.438,11.31,962,0.7859999999999999,242.233,38.643,0.206,110,9,wt,_none_
111,708.697,32.731,139.764,1064,0.71,325.387,39.503,0.126,111,9,wt,_none_
112,709.0989999999998,31.989,22.834,901,0.785,227.848,35.648,0.218,112,9,wt,_none_
113,710.92,34.95,30.256,891,0.769,216.877,34.168,0.238,113,9,wt,_none_
114,710.7510000000002,32.245,146.689,884,0.8079999999999999,207.706,34.927,0.257,114,9,wt,_none_
115,711.487,32.282,142.85299999999995,902,0.7909999999999999,211.806,35.576,0.253,115,9,wt,_none_
116,711.311,34.572,73.443,836,0.8109999999999999,183.078,33.912,0.313,116,9,wt,_none_
117,710.595,32.688,147.095,864,0.787,213.706,34.996,0.238,117,9,wt,_none_
118,710.6339999999999,33.212,136.975,859,0.8,212.049,34.63,0.24,118,9,wt,_none_
119,710.153,31.407,122.152,873,0.7490000000000001,255.889,34.969,0.168,119,9,wt,_none_
120,710.3960000000002,32.558,115.278,805,0.7879999999999999,203.806,33.094,0.244,120,9,wt,_none_
121,711.298,30.732,160.017,1027,0.7659999999999999,272.233,38.635,0.174,121,9,wt,_none_
122,710.9580000000002,30.947,134.029,865,0.763,255.647,34.82,0.166,122,9,wt,_none_
123,710.202,31.844,174.28900000000004,843,0.767,221.848,34.496,0.215,123,9,wt,_none_
124,711.169,31.772,147.095,857,0.7879999999999999,204.049,35.50199999999999,0.259,124,9,wt,_none_
125,711.7919999999998,33.623000000000005,158.19899999999996,889,0.754,258.475,35.361,0.16699999999999998,125,9,wt,_none_
126,711.722,32.049,126.327,854,0.732,252.818,34.845,0.168,126,9,wt,_none_
127,713.758,33.684,148.299,848,0.789,219.362,33.916,0.221,127,9,wt,_none_
128,713.1339999999999,33.64,132.184,841,0.75,244.919,35.885,0.17600000000000002,128,9,wt,_none_
129,712.188,32.473,115.463,1044,0.745,291.446,37.168,0.154,129,9,wt,_none_
130,710.8380000000002,33.498000000000005,155.136,990,0.75,275.789,38.11,0.16399999999999998,130,9,wt,_none_
131,712.674,30.566,143.13,1004,0.762,260.233,38.309,0.18600000000000005,131,9,wt,_none_
132,711.638,32.279,169.38,1041,0.721,293.002,38.886,0.152,132,9,wt,_none_
133,712.591,31.415,176.49599999999995,1047,0.7440000000000001,258.475,38.642,0.197,133,9,wt,_none_
134,713.245,29.642,130.732,1053,0.764,246.818,41.526,0.217,134,9,wt,_none_
135,713.132,29.913,21.125,1063,0.7290000000000001,301.245,37.542,0.147,135,9,wt,_none_
136,712.4760000000001,32.256,45.0,1033,0.738,283.931,37.21,0.161,136,9,wt,_none_
137,711.7130000000002,31.16,61.074,974,0.736,274.375,36.553,0.163,137,9,wt,_none_
138,712.169,29.126,111.318,1003,0.7659999999999999,237.747,36.511,0.223,138,9,wt,_none_
139,712.2239999999998,29.859,176.34799999999996,999,0.7240000000000001,277.688,37.173,0.163,139,9,wt,_none_
140,710.638,30.255,122.152,803,0.745,221.605,34.45,0.205,140,9,wt,_none_
141,711.43,28.737,162.3,1037,0.665,357.571,37.895,0.102,141,9,wt,_none_
142,712.715,28.61,153.997,998,0.733,273.889,37.146,0.16699999999999998,142,9,wt,_none_
143,711.7760000000002,29.143,131.424,1020,0.7340000000000001,281.588,37.702,0.162,143,9,wt,_none_
144,711.7260000000001,27.924,117.699,988,0.7440000000000001,251.647,37.245,0.196,144,9,wt,_none_
145,711.178,28.506,15.945,973,0.748,289.931,36.012,0.145,145,9,wt,_none_
146,711.8589999999998,28.15,149.47,943,0.735,270.475,35.597,0.162,146,9,wt,_none_
147,711.467,27.942,169.21599999999995,910,0.782,255.889,35.529,0.175,147,9,wt,_none_
148,712.347,25.609,164.407,991,0.728,298.1740000000001,37.572,0.14,148,9,wt,_none_
149,712.904,25.793000000000006,130.46200000000002,965,0.763,263.889,35.771,0.174,149,9,wt,_none_
150,711.065,26.062,116.565,987,0.76,287.688,37.004,0.15,150,9,wt,_none_
151,712.192,26.405,159.905,943,0.738,260.274,36.366,0.175,151,9,wt,_none_
152,713.02,26.279,172.05700000000004,911,0.7190000000000001,279.546,35.181999999999995,0.146,152,9,wt,_none_
153,713.079,26.094,30.964,858,0.736,239.99,35.537,0.187,153,9,wt,_none_
154,713.199,26.504,177.207,853,0.726,260.718,34.39,0.158,154,9,wt,_none_
155,713.3810000000002,26.89,112.306,825,0.728,257.061,34.782,0.157,155,9,wt,_none_
156,712.21,28.11,115.942,862,0.7609999999999999,227.019,35.322,0.21,156,9,wt,_none_
157,711.648,28.452,84.289,829,0.7709999999999999,217.12,34.828,0.221,157,9,wt,_none_
158,710.672,27.392,93.9,911,0.7020000000000001,275.203,36.43,0.151,158,9,wt,_none_
159,711.586,27.586,132.184,877,0.711,262.96,35.61,0.159,159,9,wt,_none_
160,710.07,28.368,40.314,879,0.722,249.747,34.697,0.177,160,9,wt,_none_
161,712.6139999999998,28.79,105.376,787,0.765,196.877,35.529,0.255,161,9,wt,_none_
162,711.923,27.608,77.005,731,0.705,228.191,33.499,0.17600000000000002,162,9,wt,_none_
163,711.321,28.163,147.84799999999996,854,0.74,242.818,35.249,0.182,163,9,wt,_none_
164,712.211,27.582,162.408,834,0.706,255.161,33.852,0.161,164,9,wt,_none_
165,713.1210000000002,27.222,115.942,802,0.696,281.931,34.839,0.127,165,9,wt,_none_
166,713.408,26.592,170.31099999999995,763,0.7440000000000001,225.948,32.375,0.188,166,9,wt,_none_
167,712.056,27.854,4.289,759,0.682,243.99,33.008,0.16,167,9,wt,_none_
168,713.185,26.638,168.408,791,0.7340000000000001,233.747,33.184,0.182,168,9,wt,_none_
169,711.6610000000002,28.214,115.408,931,0.732,275.446,36.126,0.154,169,9,wt,_none_
170,712.71,27.691,125.538,833,0.722,243.161,35.041,0.177,170,9,wt,_none_
171,712.694,28.46,120.964,742,0.6890000000000001,240.818,33.87,0.161,171,9,wt,_none_
172,713.294,27.3,145.886,684,0.7240000000000001,218.191,31.582,0.181,172,9,wt,_none_
173,713.7130000000002,26.46,111.541,746,0.7240000000000001,212.291,33.371,0.208,173,9,wt,_none_
174,712.575,27.545,115.278,691,0.721,209.362,33.593,0.198,174,9,wt,_none_
175,712.822,27.375,165.324,846,0.713,261.99,35.414,0.155,175,9,wt,_none_
176,711.9889999999998,26.925,175.815,816,0.7240000000000001,249.304,34.396,0.165,176,9,wt,_none_
177,710.1489999999999,27.785,106.557,681,0.708,228.43400000000003,32.0,0.16399999999999998,177,9,wt,_none_
178,712.4019999999998,27.48,135.0,599,0.6990000000000001,198.049,30.241,0.192,178,9,wt,_none_
179,710.6410000000002,27.864,146.689,863,0.727,266.96,35.887,0.152,179,9,wt,_none_
180,710.0369999999998,26.996,95.572,790,0.723,256.818,33.984,0.151,180,9,wt,_none_
181,710.919,26.597,174.56,835,0.696,316.316,33.34,0.105,181,9,wt,_none_
1,84.484,834.775,87.61399999999998,1103,0.7120000000000001,340.357,37.904,0.12,1,15,wt,normal;
2,90.217,841.612,92.49,1074,0.742,291.831,37.956,0.158,2,15,wt,normal;
3,96.769,845.59,114.102,948,0.779,214.877,35.287,0.258,3,15,wt,normal;
4,99.593,851.817,102.095,900,0.777,221.948,36.456,0.23,4,15,wt,normal;
5,102.198,856.6610000000002,75.964,878,0.718,240.09,35.084,0.191,5,15,wt,normal;
6,101.94,861.946,107.199,912,0.762,244.576,35.08,0.192,6,15,wt,normal;
7,103.894,864.9830000000002,62.879,979,0.755,237.161,35.65,0.219,7,15,wt,normal;
8,107.72,868.52,124.778,992,0.7390000000000001,310.416,35.761,0.129,8,15,wt,normal;
9,107.801,869.7189999999998,113.703,973,0.753,271.30400000000003,36.142,0.166,9,15,wt,normal;
10,104.167,874.846,126.327,879,0.738,239.99,34.886,0.192,10,15,wt,normal;
11,103.942,875.628,133.15200000000002,864,0.721,261.647,33.689,0.159,11,15,wt,normal;
12,100.289,878.715,169.287,766,0.774,189.806,32.374,0.267,12,15,wt,normal;
13,94.101,880.064,28.301,929,0.726,253.061,35.371,0.182,13,15,wt,normal;
14,96.501,880.0060000000002,18.435,1017,0.746,285.345,37.982,0.157,14,15,wt,normal;
15,92.712,882.452,65.77199999999999,998,0.7559999999999999,269.203,37.26,0.173,15,15,wt,normal;
16,91.396,882.2810000000002,24.228,872,0.747,241.505,37.757,0.188,16,15,wt,normal;
17,90.659,885.6669999999998,34.077,830,0.741,253.647,34.522,0.162,17,15,wt,normal;
18,89.238,887.7339999999998,40.601,990,0.716,288.032,36.854,0.15,18,15,wt,normal;
19,86.706,886.7560000000002,171.347,971,0.687,295.688,37.056,0.14,19,15,wt,normal;
20,82.792,885.6039999999998,17.199,937,0.736,280.517,37.312,0.15,20,15,wt,normal;
21,82.01299999999998,884.944,24.677,797,0.772,196.978,34.751999999999995,0.258,21,15,wt,normal;
22,77.994,886.3889999999999,45.0,781,0.757,209.706,34.474000000000004,0.223,22,15,wt,normal;
23,78.931,886.811,20.225,821,0.777,191.078,34.883,0.28300000000000003,23,15,wt,normal;
24,75.69,887.65,123.275,774,0.76,208.049,33.029,0.225,24,15,wt,normal;
25,73.771,888.658,41.878,778,0.765,205.806,33.222,0.231,25,15,wt,normal;
26,72.258,886.525,61.607,768,0.723,239.161,33.837,0.16899999999999998,26,15,wt,normal;
27,71.268,885.061,38.66,825,0.718,242.576,37.39,0.17600000000000002,27,15,wt,normal;
28,66.414,886.7260000000001,52.853,895,0.77,209.362,35.22400000000001,0.257,28,15,wt,normal;
29,67.167,887.525,162.719,961,0.741,274.86,36.451,0.16,29,15,wt,normal;
30,65.182,885.827,151.783,957,0.7,283.588,36.905,0.15,30,15,wt,normal;
31,64.785,884.2819999999998,78.69,747,0.7759999999999999,170.83599999999996,34.399,0.322,31,15,wt,normal;
32,63.037,884.7389999999998,123.69,787,0.785,198.007,32.441,0.252,32,15,wt,normal;
33,63.042,884.318,29.427,933,0.755,239.262,36.719,0.205,33,15,wt,normal;
34,60.645,886.315,69.905,987,0.741,307.973,36.775,0.131,34,15,wt,normal;
35,62.124,885.883,3.814,927,0.7190000000000001,259.061,35.852,0.174,35,15,wt,normal;
36,60.702,885.189,56.31,896,0.769,231.605,36.87300000000001,0.21,36,15,wt,normal;
37,59.865,882.238,27.15,906,0.74,271.446,35.22400000000001,0.155,37,15,wt,normal;
38,56.712,883.95,133.025,826,0.691,287.931,33.776,0.125,38,15,wt,normal;
39,56.887,880.436,43.025,793,0.787,223.362,36.278,0.2,39,15,wt,normal;
40,52.352,883.5139999999999,17.102999999999998,759,0.74,212.191,34.345,0.212,40,15,wt,normal;
41,54.723,884.576,57.848,775,0.753,205.706,35.456,0.23,41,15,wt,normal;
42,54.54600000000001,881.082,20.171,912,0.721,240.676,39.571,0.198,42,15,wt,normal;
43,54.717,883.018,34.509,743,0.768,198.978,32.117,0.236,43,15,wt,normal;
44,50.928,881.076,43.264,908,0.754,238.09,38.709,0.201,44,15,wt,normal;
45,52.945,881.924,38.454,941,0.7440000000000001,258.818,37.448,0.177,45,15,wt,normal;
46,51.372,883.62,62.819,811,0.757,228.43400000000003,34.915,0.195,46,15,wt,normal;
47,51.412,885.1389999999999,16.557000000000002,706,0.784,187.664,31.999,0.252,47,15,wt,normal;
48,51.101000000000006,883.635,37.747,696,0.72,228.43400000000003,32.132,0.168,48,15,wt,normal;
49,50.175,883.5930000000002,43.025,831,0.765,232.333,35.716,0.193,49,15,wt,normal;
50,52.01300000000001,883.1239999999998,78.69,840,0.742,262.96,34.111999999999995,0.153,50,15,wt,normal;
51,50.575,882.3,32.152,859,0.718,255.889,35.279,0.165,51,15,wt,normal;
52,48.718,883.653,39.094,790,0.726,231.262,33.881,0.18600000000000005,52,15,wt,normal;
53,48.965,882.842,34.077,860,0.758,202.978,35.297,0.262,53,15,wt,normal;
54,50.983,884.613,52.853,807,0.74,255.889,34.744,0.155,54,15,wt,normal;
