frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle,label
71,442.235,504.69599999999997,29.404,1323,0.8059999999999999,259.889,57.287,0.24600000000000002,71,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
72,494.065,504.24,24.086,1632,0.72,415.654,86.271,0.11900000000000001,72,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
73,491.653,501.97900000000004,23.767,1322,0.812,264.233,70.82300000000001,0.23800000000000002,73,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
74,489.5,502.033,24.495,1273,0.787,254.233,66.17,0.248,74,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
75,487.085,504.56699999999995,27.748,1507,0.7909999999999999,297.58799999999997,69.149,0.214,75,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
76,489.154,503.56,28.545,1481,0.841,276.032,66.059,0.244,76,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
77,488.186,502.626,27.646,1304,0.836,246.475,60.056999999999995,0.27,77,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
78,487.04400000000004,503.17900000000003,29.776999999999997,1062,0.858,189.22,45.41,0.373,78,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
79,486.37199999999996,503.838,29.781999999999996,1067,0.848,201.321,45.61600000000001,0.331,79,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
80,485.61699999999996,504.50800000000004,28.795,1026,0.853,185.52200000000002,45.368,0.375,80,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
81,492.213,510.501,30.208000000000002,1434,0.8170000000000001,304.659,60.441,0.19399999999999998,81,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
82,486.68800000000005,506.025,30.898000000000003,1168,0.838,230.676,48.131,0.276,82,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
83,487.004,505.898,31.656,1145,0.8340000000000001,220.049,46.052,0.297,83,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
84,488.86699999999996,505.47900000000004,31.037,1131,0.845,213.22,46.397,0.313,84,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
85,512.249,503.287,27.883000000000003,1615,0.779,382.014,73.745,0.139,85,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
86,496.19800000000004,504.75,28.473000000000003,939,0.89,146.894,41.989,0.547,86,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
87,490.473,505.01199999999994,25.345,928,0.8290000000000001,200.392,46.619,0.29,87,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
88,492.843,505.36199999999997,28.851,913,0.845,175.179,40.292,0.374,88,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
89,468.99,512.185,24.505,1295,0.732,328.458,67.28699999999999,0.151,89,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
90,467.31300000000005,511.349,28.982,1301,0.78,290.274,57.155,0.19399999999999998,90,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
91,476.829,507.325,25.756999999999998,838,0.8140000000000001,184.593,41.424,0.309,91,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
92,447.99300000000005,517.281,22.546,1236,0.769,251.64700000000002,69.801,0.245,92,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
93,454.515,512.232,25.408,1284,0.823,246.81799999999998,64.343,0.265,93,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
94,445.45599999999996,516.738,29.934,1504,0.778,315.63,63.973,0.19,94,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
95,457.564,511.533,27.773000000000003,987,0.836,186.593,45.248000000000005,0.35600000000000004,95,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
96,478.62199999999996,508.978,26.149,1133,0.804,253.747,55.167,0.221,96,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
97,474.033,509.209,31.459,1245,0.8109999999999999,262.032,50.388000000000005,0.228,97,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
98,468.208,508.92699999999996,28.108,1043,0.8059999999999999,202.291,47.246,0.32,98,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
99,471.48199999999997,507.01599999999996,30.656,1138,0.848,213.463,47.265,0.314,99,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
