frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
51,558.269,496.25699999999995,23.997,1711,0.7020000000000001,435.311,90.78200000000001,0.113,51,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
52,543.044,474.028,27.916,1639,0.758,400.784,74.75399999999999,0.128,52,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
53,533.757,462.56800000000004,27.508000000000003,1652,0.758,328.458,76.464,0.192,53,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
54,535.1419999999999,465.291,29.969,1491,0.7559999999999999,337.87199999999996,63.343999999999994,0.16399999999999998,54,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
55,558.047,497.336,22.014,1635,0.628,568.69,94.56299999999999,0.064,55,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
56,565.947,511.099,19.628,1394,0.5489999999999999,573.9630000000001,90.426,0.053,56,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
57,570.811,518.863,19.463,1050,0.581,458.139,68.69,0.063,57,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
58,572.44,523.512,22.36,1253,0.645,369.914,71.351,0.115,58,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
59,572.9830000000001,521.9159999999999,20.698,1182,0.6759999999999999,425.754,72.711,0.08199999999999999,59,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
60,574.378,523.183,19.625999999999998,1143,0.633,407.51199999999994,74.15100000000001,0.086,60,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
61,574.639,522.279,17.576,846,0.601,336.25699999999995,61.285,0.094,61,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
62,572.025,519.34,21.625,1256,0.7120000000000001,358.94300000000004,73.95,0.12300000000000001,62,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
63,565.745,509.096,24.006,1187,0.74,326.115,62.958,0.14,63,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
