frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
69,699.931,636.448,33.351,1034,0.715,302.416,39.475,0.142,69,5
69,564.9069999999999,485.92,48.783,2102,0.775,438.24,54.861999999999995,0.138,69,1
70,563.306,484.727,49.412,2132,0.755,458.039,54.937,0.128,70,1
70,697.952,635.565,33.917,1026,0.718,312.902,38.516,0.132,70,5
71,564.725,484.111,47.479,2058,0.789,391.955,55.19,0.168,71,1
71,699.6389999999999,636.126,33.411,1022,0.731,282.274,38.946999999999996,0.161,71,5
72,564.8480000000001,482.324,47.63,2108,0.7709999999999999,401.026,56.351000000000006,0.165,72,1
72,701.677,635.929,32.184,1020,0.77,261.789,40.353,0.187,72,5
73,702.7439999999999,635.751,32.802,1034,0.703,327.04400000000004,40.135,0.121,73,5
73,565.587,482.784,45.728,2126,0.7490000000000001,494.32300000000004,59.196000000000005,0.109,73,1
74,703.322,634.5419999999999,33.281,1021,0.777,216.676,39.061,0.273,74,5
74,566.604,483.9,48.49100000000001,2153,0.763,460.281,56.532,0.128,74,1
75,566.306,483.05,49.528999999999996,2170,0.75,457.45300000000003,55.784,0.13,75,1
75,704.363,634.9590000000001,34.584,1073,0.725,265.789,39.503,0.191,75,5
76,567.011,483.529,47.13399999999999,2231,0.7559999999999999,481.009,60.266000000000005,0.121,76,1
76,705.806,634.444,34.166,1090,0.757,313.144,40.62,0.14,76,5
77,564.668,481.866,49.364,2114,0.778,433.796,54.526,0.141,77,1
77,704.329,632.9630000000001,33.266,1024,0.765,246.09,39.193000000000005,0.212,77,5
78,703.808,632.7909999999999,34.578,1079,0.742,304.659,39.732,0.146,78,5
78,566.316,482.556,51.177,2158,0.767,455.69599999999997,53.68899999999999,0.131,78,1
79,565.533,482.051,50.391000000000005,2071,0.768,416.68300000000005,52.328,0.15,79,1
79,703.555,632.315,33.501999999999995,1012,0.762,244.333,38.46,0.213,79,5
80,565.231,481.181,44.827,2077,0.7759999999999999,472.08,58.993,0.11699999999999999,80,1
80,703.345,632.019,35.695,1072,0.7240000000000001,331.144,38.238,0.12300000000000001,80,5
81,702.674,632.275,34.779,1017,0.772,237.019,37.232,0.22699999999999998,81,5
81,564.644,482.462,48.733000000000004,1974,0.763,433.411,51.574,0.132,81,1
82,566.305,482.54900000000004,49.468999999999994,2140,0.745,504.32300000000004,55.08,0.106,82,1
82,702.086,630.573,35.503,1024,0.767,289.103,36.724000000000004,0.154,82,5
83,701.822,631.9590000000001,33.454,1026,0.773,252.333,39.049,0.20199999999999999,83,5
83,566.391,483.452,45.632,2175,0.747,481.25199999999995,60.688,0.11800000000000001,83,1
84,704.065,633.196,34.438,1090,0.743,287.345,40.299,0.166,84,5
84,565.183,483.228,46.79,2188,0.778,500.566,59.538999999999994,0.11,84,1
85,702.6030000000001,631.819,34.692,1018,0.74,311.487,37.361999999999995,0.132,85,5
85,566.034,482.355,47.106,2093,0.768,424.926,56.571999999999996,0.146,85,1
86,566.581,484.164,47.437,2138,0.758,431.855,57.385,0.14400000000000002,86,1
86,702.6569999999999,632.7819999999999,34.599000000000004,1007,0.755,273.44599999999997,37.058,0.16899999999999998,86,5
87,705.518,631.9830000000001,33.006,1048,0.6940000000000001,324.659,40.427,0.125,87,5
87,567.906,483.289,49.739,2153,0.715,503.879,55.113,0.107,87,1
88,705.23,633.006,35.176,1055,0.745,298.073,38.187,0.149,88,5
88,566.996,481.62300000000005,47.371,2102,0.75,442.86699999999996,56.498000000000005,0.135,88,1
89,701.547,631.714,35.628,1015,0.7090000000000001,293.83099999999996,36.273,0.14800000000000002,89,5
89,565.937,480.224,41.63,2240,0.7509999999999999,460.524,68.51,0.133,89,1
90,703.051,632.3330000000001,34.105,1029,0.752,287.58799999999997,38.416,0.156,90,5
90,566.185,479.402,34.09,2375,0.711,488.909,88.704,0.125,90,1
91,704.034,633.014,34.188,1002,0.732,259.889,37.317,0.18600000000000003,91,5
91,592.34,490.75300000000004,35.599000000000004,1228,0.7190000000000001,358.014,43.92100000000001,0.12,91,1
92,704.3939999999999,633.679,32.381,982,0.765,274.96,38.611999999999995,0.163,92,5
92,599.076,496.73400000000004,36.084,1128,0.759,302.416,39.802,0.155,92,1
93,703.8889999999999,633.369,32.364000000000004,949,0.77,254.81799999999998,37.335,0.184,93,5
93,609.195,500.251,37.049,1204,0.721,338.115,41.376999999999995,0.132,93,1
94,703.404,631.9490000000001,34.292,1030,0.688,321.63,38.243,0.125,94,5
94,617.4630000000001,502.08099999999996,39.408,1326,0.7240000000000001,388.985,42.842,0.11,94,1
95,701.975,632.217,33.24,1009,0.7490000000000001,247.262,38.649,0.207,95,5
95,623.035,503.69300000000004,40.634,1376,0.732,346.843,43.11600000000001,0.14400000000000002,95,1
96,702.257,631.812,33.966,1044,0.745,282.416,39.135,0.16399999999999998,96,5
96,628.754,506.889,40.516,1410,0.737,358.94300000000004,44.31,0.138,96,1
97,703.71,632.855,34.165,1018,0.741,277.44599999999997,37.938,0.166,97,5
97,633.871,512.097,39.845,1403,0.735,411.855,44.832,0.10400000000000001,97,1
98,707.204,633.31,31.741,1030,0.742,287.546,41.317,0.157,98,5
98,636.812,519.754,40.086999999999996,1415,0.72,366.5,44.943000000000005,0.132,98,1
99,706.087,632.0930000000001,34.051,969,0.77,280.86,36.233000000000004,0.154,99,5
99,639.388,522.3430000000001,40.397,1415,0.738,340.014,44.598,0.154,99,1
100,704.189,632.331,33.648,959,0.7440000000000001,251.40400000000002,36.289,0.191,100,5
100,639.519,526.136,39.971,1354,0.748,377.61199999999997,43.13,0.11900000000000001,100,1
101,704.6289999999999,633.1709999999999,32.284,1003,0.733,272.375,39.556999999999995,0.17,101,5
101,638.814,528.304,38.875,1322,0.742,334.35699999999997,43.299,0.149,101,1
102,703.904,632.6469999999999,32.27,937,0.759,250.81799999999998,36.97,0.187,102,5
102,637.986,530.717,38.44,1250,0.757,276.375,41.403,0.20600000000000002,102,1
103,703.8839999999999,631.827,32.48,917,0.807,212.049,35.946999999999996,0.256,103,5
103,638.498,529.7919999999999,38.443000000000005,1289,0.764,310.659,42.692,0.168,103,1
104,703.932,630.4830000000001,32.153,953,0.763,251.99,37.738,0.18899999999999997,104,5
104,637.716,527.64,39.336,1368,0.746,311.73,44.28,0.177,104,1
105,703.09,629.8919999999999,32.696999999999996,987,0.727,305.487,38.434,0.133,105,5
105,637.365,527.707,39.764,1363,0.7879999999999999,288.759,43.643,0.205,105,1
106,703.61,629.873,33.056999999999995,1008,0.74,302.86,38.824,0.138,106,5
106,637.475,526.1759999999999,40.499,1456,0.76,328.215,45.775,0.17,106,1
107,706.1560000000001,631.318,31.526999999999997,1046,0.73,301.83099999999996,42.243,0.14400000000000002,107,5
107,638.816,524.247,41.93600000000001,1413,0.735,353.81300000000005,42.901,0.142,107,1
108,706.441,630.36,32.955,1004,0.7190000000000001,277.30400000000003,38.79,0.16399999999999998,108,5
108,637.188,525.112,42.662,1526,0.7070000000000001,411.37,45.543,0.113,108,1
109,705.637,629.636,32.858000000000004,964,0.721,282.759,37.355,0.152,109,5
109,636.847,524.448,41.917,1431,0.7020000000000001,393.713,43.467,0.11599999999999999,109,1
110,703.168,629.3330000000001,33.139,951,0.757,263.061,36.538000000000004,0.17300000000000001,110,5
110,635.03,523.53,42.5,1446,0.725,342.35699999999997,43.32,0.155,110,1
111,703.753,629.754,31.616999999999997,904,0.7390000000000001,259.647,36.404,0.16899999999999998,111,5
111,633.623,522.001,40.941,1361,0.762,345.772,42.327,0.14300000000000002,111,1
112,704.425,629.4209999999999,31.46,914,0.7290000000000001,305.002,36.992,0.12300000000000001,112,5
112,631.974,521.067,40.933,1417,0.715,370.784,44.076,0.13,112,1
113,702.908,629.774,32.799,957,0.742,297.245,37.150999999999996,0.136,113,5
113,633.638,519.227,42.04600000000001,1408,0.7340000000000001,375.12699999999995,42.637,0.126,113,1
114,704.1260000000001,628.491,32.298,930,0.7659999999999999,235.262,36.662,0.21100000000000002,114,5
114,632.751,519.48,41.381,1418,0.711,360.014,43.63,0.13699999999999998,114,1
115,701.7660000000001,628.129,32.702,962,0.736,257.30400000000003,37.455,0.183,115,5
115,632.648,519.0930000000001,42.105,1436,0.7190000000000001,364.156,43.424,0.136,115,1
116,703.442,628.644,32.561,979,0.73,265.789,38.282,0.174,116,5
116,632.261,518.9540000000001,40.461,1473,0.723,409.754,46.353,0.11,116,1
117,705.78,628.629,32.748000000000005,980,0.742,247.99,38.103,0.2,117,5
117,631.591,519.7719999999999,41.159,1479,0.7240000000000001,431.411,45.751999999999995,0.1,117,1
118,702.393,629.339,32.027,967,0.7240000000000001,294.759,38.444,0.14,118,5
118,630.506,520.9209999999999,38.256,1377,0.7070000000000001,385.37,45.83,0.11699999999999999,118,1
119,703.133,629.219,30.895,930,0.746,291.58799999999997,38.327,0.13699999999999998,119,5
119,630.545,519.923,37.766999999999996,1343,0.708,347.32800000000003,45.277,0.14,119,1
120,706.1419999999999,630.5419999999999,30.124000000000002,904,0.7609999999999999,252.676,38.21,0.17800000000000002,120,5
120,630.299,519.393,36.441,1357,0.731,360.014,47.413000000000004,0.132,120,1
121,705.7360000000001,629.033,31.3,921,0.753,257.747,37.465,0.174,121,5
121,629.809,519.645,36.672,1332,0.755,328.55800000000005,46.247,0.155,121,1
122,704.98,629.443,31.734,894,0.75,231.84799999999998,35.87,0.209,122,5
122,630.373,520.3919999999999,37.854,1381,0.7759999999999999,314.902,46.451,0.175,122,1
123,704.528,627.885,31.461,922,0.736,286.032,37.314,0.142,123,5
123,629.161,519.224,37.687,1499,0.7340000000000001,392.784,50.643,0.122,123,1
124,704.409,628.837,33.915,949,0.7240000000000001,278.274,35.626999999999995,0.154,124,5
124,628.4830000000001,520.1619999999999,38.013000000000005,1550,0.727,393.61199999999997,51.918,0.126,124,1
125,707.845,628.9159999999999,32.235,911,0.6990000000000001,292.517,35.983000000000004,0.134,125,5
125,629.54,520.225,37.235,1551,0.735,413.855,53.037,0.114,125,1
126,707.6510000000001,629.155,32.579,902,0.754,238.09,35.251999999999995,0.2,126,5
126,629.034,521.229,34.992,1535,0.6940000000000001,467.495,55.854,0.08800000000000001,126,1
127,706.341,628.628,31.289,841,0.748,231.262,34.223,0.198,127,5
127,629.053,519.547,31.695999999999998,1536,0.6940000000000001,409.754,61.702,0.115,127,1
128,708.2610000000001,629.575,31.581,827,0.7290000000000001,258.818,33.341,0.155,128,5
128,626.847,521.044,24.671999999999997,1353,0.645,381.32800000000003,69.825,0.11699999999999999,128,1
129,705.3939999999999,629.007,32.063,860,0.73,260.818,34.150999999999996,0.159,129,5
129,639.158,532.002,28.955,852,0.6759999999999999,305.83099999999996,37.465,0.114,129,1
130,707.212,629.503,32.309,899,0.731,272.617,35.428000000000004,0.152,130,5
130,640.943,532.659,29.024,759,0.6809999999999999,298.558,33.297,0.107,130,1
131,708.275,628.095,32.036,911,0.711,250.233,36.207,0.183,131,5
131,640.681,533.381,30.846999999999998,842,0.7120000000000001,259.647,34.754,0.157,131,1
132,707.8439999999999,628.569,31.808000000000003,898,0.706,284.617,35.946,0.139,132,5
132,639.938,534.443,28.093000000000004,771,0.726,256.132,34.943000000000005,0.14800000000000002,132,1
133,707.2539999999999,628.611,31.711,927,0.7490000000000001,261.30400000000003,37.22,0.171,133,5
133,640.999,534.732,31.787,813,0.7170000000000001,257.30400000000003,32.565,0.154,133,1
134,707.195,628.005,31.951999999999998,945,0.6990000000000001,294.274,37.657,0.13699999999999998,134,5
134,640.425,534.424,29.816999999999997,763,0.7340000000000001,231.605,32.582,0.179,134,1
135,639.336,534.804,30.593000000000004,785,0.711,239.64700000000002,32.67,0.172,135,1
135,705.6110000000001,627.923,30.51,861,0.7609999999999999,241.262,35.931,0.18600000000000003,135,5
136,704.268,628.1519999999999,31.585,887,0.6920000000000001,261.30400000000003,35.756,0.163,136,5
136,637.508,535.5880000000001,28.57,746,0.7390000000000001,226.19099999999997,33.246,0.183,136,1
137,704.252,628.25,29.682,844,0.758,219.12,36.204,0.221,137,5
137,638.04,535.4019999999999,29.781,742,0.701,243.747,31.723000000000003,0.157,137,1
138,705.898,628.424,30.586,900,0.728,251.64700000000002,37.465,0.179,138,5
138,638.1080000000001,535.278,29.9,775,0.695,256.375,33.001999999999995,0.14800000000000002,138,1
139,705.992,627.909,31.682,895,0.73,297.245,35.968,0.127,139,5
139,637.484,535.234,30.151999999999997,789,0.711,264.375,33.318000000000005,0.142,139,1
140,636.7919999999999,533.832,30.235,782,0.7340000000000001,227.94799999999998,32.931,0.18899999999999997,140,1
140,707.007,626.5369999999999,33.336999999999996,956,0.698,319.83099999999996,36.513000000000005,0.11699999999999999,140,5
141,705.441,626.809,33.232,895,0.726,282.96,34.291,0.14,141,5
141,637.944,534.9259999999999,29.862,809,0.7240000000000001,248.81799999999998,34.494,0.16399999999999998,141,1
142,706.824,625.327,32.585,923,0.67,299.931,36.066,0.129,142,5
142,638.5369999999999,535.02,31.424,843,0.6629999999999999,296.96,34.157,0.12,142,1
143,706.959,625.84,31.834,950,0.764,235.605,37.996,0.215,143,5
143,636.543,535.106,31.608,832,0.6729999999999999,278.86,33.515,0.134,143,1
144,706.961,625.193,33.069,927,0.713,306.073,35.692,0.124,144,5
144,638.631,533.2669999999999,30.669,803,0.6890000000000001,285.103,33.336999999999996,0.124,144,1
145,637.304,533.889,30.6,761,0.705,239.40400000000002,31.665,0.16699999999999998,145,1
